,MMM,ABT,ABBV,ACN,ATVI,AYI,ADBE,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,AGN,LNT,ALXN,ALLE,ADS,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,APC,ADI,ANTM,AON,APA,AIV,AAPL,AMAT,ADM,ARNC,AJG,AIZ,T,ADSK,ADP,AN,AZO,AVB,AVY,BHI,BLL,BAC,BK,BCR,BAX,BBT,BDX,BBBY
AMT,0.912246080351,0.935665379057,0.86324381842,0.971998763296,0.886210388703,0.908120241186,0.899965940676,0.946263341431,-0.0409542322845,0.889316151092,0.862192651341,0.868175159218,0.761560760771,0.926711642681,0.484363830822,0.883418644301,0.895560624488,0.866014884331,0.961941531372,0.923759458803,0.831968413892,0.930081446298,0.749698773436,0.957851340285,0.95934547389,0.941635192873,0.911839124974,0.754409859948,0.449707929753,0.9402742446,0.850800797156,-0.695190286154,1.0,0.964535671716,0.907808252399,0.9056247246,0.938477660298,0.8668360582,0.961197490328,0.755058408904,0.755678228772,0.875803804186,0.947998103828,0.375134681899,0.850114079885,0.947902550415,0.323245201216,0.840682923862,-0.597332333714,0.901468907317,0.836940204967,0.942037354543,0.811535297934,0.93748768138,0.882982895436,0.934282517567,0.934973517644,0.532378391875,0.448243766146,0.93704222226,-0.464399891198,0.492812954981,0.919041854019,0.905571689279,0.715565422226,0.927070583739,0.658725029657
AWK,0.960812600835,0.887802480926,0.755551600944,0.98008612937,0.91904986891,0.963891604382,0.936390144081,0.925685183607,0.203435436137,0.947493446907,0.723695891935,0.840613235806,0.888831786346,0.929116130199,0.749119163728,0.937252741174,0.79300289874,0.877746553871,0.989315499623,0.826940697128,0.8671411146,0.820013145205,0.917272892399,0.957256363301,0.957016665346,0.989240390623,0.96105279339,0.966505564825,0.862313433779,0.983348561547,0.730245584465,-0.103887619287,0.964535671716,1.0,0.83464538254,0.880093043406,0.861982149331,0.937307678385,0.952261023951,0.228544419037,0.938913662964,0.900244163497,0.956195451203,-0.633640515331,0.940044688389,0.888589775975,0.847961220518,0.793047683331,-0.234859545678,0.9178143148,0.904865065213,0.957494347566,0.879751977525,0.969146755119,0.80252986153,0.970372309431,0.926241025925,0.922480825499,0.244331475043,0.959929329197,0.0947730959266,0.766670890605,0.967345288986,0.918640917028,0.849554149057,0.962750819471,0.407645377514
AMP,0.93795740378,0.935887638459,0.71349642801,0.878616996785,0.754366072331,0.841680181916,0.865090619209,0.919512333287,-0.0333232632357,0.889799689431,0.950573310057,0.855780586944,0.924564961946,0.931471831627,0.865559977521,0.897031882574,0.739841302216,0.935274146436,0.891066399098,0.922196289453,-0.22722522967,0.966368540487,0.86349553804,0.888657125255,0.89101984956,0.863489049425,0.790674503858,0.777181779685,0.626308765124,0.898936299987,0.927781203755,-0.322381086879,0.907808252399,0.83464538254,1.0,0.945010202424,0.936033388485,0.910749542635,0.931300269893,0.623432466662,0.930701050883,0.898514160273,0.925268233497,-0.309969067974,0.840047803269,0.881571720912,0.76659807123,0.898420129119,-0.266429534832,0.931501888864,0.824049436575,0.837227689606,0.838208865959,0.929584250376,0.916541360267,0.878892808077,0.868341653957,0.714519275721,0.232138050068,0.920243261874,-0.206189907419,0.679183063668,0.862312045144,0.820376117962,0.848668380668,0.879877558755,0.691973616555
ABC,0.959390181465,0.966548527491,0.841910934284,0.945162436797,0.882221995319,0.922895423294,0.890999886213,0.971983108177,-0.237381796871,0.930118099989,0.889033468549,0.846176195949,0.609104738839,0.945825164692,0.313236942871,0.956680499414,0.805852581045,0.963567006442,0.937466929724,0.953987724964,0.449035124665,0.961966719868,0.819829346534,0.918528535727,0.916760028101,0.95136856327,0.900074268872,0.787243674941,0.539201123646,0.936131299506,0.844468830616,-0.653815693296,0.9056247246,0.880093043406,0.945010202424,1.0,0.944383648195,0.931232114605,0.956536570798,0.68972385072,0.716493815841,0.923245158272,0.956762516032,0.235935422739,0.868153453184,0.954122726528,0.226254450702,0.833081645841,-0.576759548171,0.942677685427,0.810398927666,0.835443384558,0.780824649351,0.958603900499,0.943668147675,0.966336196608,0.912092608964,0.614122195043,0.397589658961,0.960619569786,-0.385608843027,0.481174414348,0.920661150355,0.854647452026,0.7988127932,0.932847594547,0.737110730783
AME,0.937758253926,0.972040123737,0.646224923196,0.952624244591,0.868685462428,0.867086955984,0.85051562068,0.946357197313,-0.275005187469,0.899734940207,0.94003249731,0.905632249337,0.603423159104,0.952980805156,0.310331480511,0.875120710702,0.915424326877,0.873830379567,0.946156656735,0.957028799618,-0.141590762404,0.973683868587,0.778893945569,0.916270510491,0.919065923933,0.931954161387,0.87838081672,0.768164849998,0.402227917536,0.928738127056,0.888946819078,-0.764407284309,0.938477660298,0.861982149331,0.936033388485,0.944383648195,1.0,0.844793587945,0.968403150899,0.840254044092,0.64019855504,0.853301449,0.942768688749,0.453170041532,0.827747011805,0.96186363256,0.1196078262,0.884449900688,-0.634781128706,0.952796415801,0.785208208996,0.868137543904,0.833585419962,0.914352076435,0.961890384642,0.951438337906,0.944816540076,0.483812873065,0.49162580627,0.968190118379,-0.428663824864,0.372474693131,0.926073174071,0.909142094095,0.784165644223,0.929051982525,0.813110560369
AMGN,0.923137409167,0.896302390629,0.948056633667,0.908456757059,0.852168190779,0.934313756133,0.913168615578,0.937698606381,-0.0894008508363,0.902022020646,0.79594504651,0.761580738193,0.659054703614,0.861097140922,0.362967734101,0.958208888734,0.676829221763,0.959640266325,0.896297872321,0.89584497282,0.784077553521,0.905593800024,0.853427245925,0.905788932488,0.902473186103,0.915652487521,0.889440047266,0.82032132058,0.640271480886,0.903000684364,0.810344310904,-0.467747024046,0.8668360582,0.937307678385,0.910749542635,0.931232114605,0.844793587945,1.0,0.893199035172,0.507910134856,0.808360448454,0.909676460275,0.919923594704,0.00252988138903,0.862209624819,0.866272393475,0.421066009576,0.716970839928,-0.470768289633,0.901708125733,0.832952728214,0.804526717738,0.716161113628,0.951665048081,0.851327229641,0.910332549361,0.81624960973,0.737644796153,0.268876050047,0.888139026882,-0.281437785887,0.575628512831,0.865958613238,0.776445566979,0.802672160211,0.878552504499,0.593016706697
APH,0.973635934482,0.971252039781,0.903270674004,0.980726313574,0.937578113523,0.942362417086,0.929524278779,0.966740580818,-0.225835323842,0.94487565364,0.898638443911,0.923371945595,0.647613746218,0.984011400605,0.347198676078,0.927409746666,0.908440844238,0.899583049242,0.980670020644,0.931415214659,0.822496660649,0.944620205859,0.821727804594,0.96808374154,0.968447488207,0.975600007763,0.937307629455,0.818667436654,0.471683257126,0.965500484805,0.849820832435,-0.72564382048,0.961197490328,0.952261023951,0.931300269893,0.956536570798,0.968403150899,0.893199035172,1.0,0.762270478698,0.703576808391,0.90212008747,0.981594849217,0.39228882552,0.879308460126,0.964327176164,0.242713807583,0.888819537894,-0.597683167344,0.94971416416,0.863237675677,0.90090935786,0.853844881103,0.957465591865,0.918472334927,0.971703501763,0.948913942074,0.598194017435,0.480601809262,0.983988132533,-0.394881717808,0.484590202039,0.968501892934,0.930586615804,0.801395743321,0.977948393365,0.703011133984
APC,0.679711687123,0.766794389018,-0.397835092643,0.67704858631,0.597639227763,0.495337827332,0.572332550153,0.652034053916,-0.20754805449,0.641918676508,0.844310108467,0.7852858602,0.444873505253,0.768602403349,0.211921564718,0.532874555732,0.850235574868,0.557192858238,0.71366800874,0.742946804936,-0.658052815516,0.756246508618,0.532178141387,0.526761871915,0.536736572153,0.652858060585,0.569871595978,0.501557483978,0.0209134460748,0.682679325934,0.773834379357,-0.753687397355,0.755058408904,0.228544419037,0.623432466662,0.68972385072,0.840254044092,0.507910134856,0.762270478698,1.0,0.36422449537,0.578710045779,0.704550356931,0.762184556613,0.572254927408,0.765522428915,-0.0847845557529,0.828029291498,-0.528083393835,0.731913253207,0.430060817497,0.676641263917,0.734734604104,0.630977766157,0.792015662621,0.676767872591,0.775482094782,0.106343368057,0.646324769605,0.749553211324,-0.400017143547,0.183000710401,0.692021507532,0.775673519338,0.576639301713,0.696306323257,0.797961724562
ADI,0.704904798314,0.666856481212,0.841458831778,0.905997152765,0.625273454596,0.90501648275,0.754575488334,0.912615365159,0.277013245149,0.664585080746,0.588786077787,0.547480704163,0.847906456419,0.63808343292,0.554674850946,0.789785951453,0.529289752169,0.798086757288,0.708869763351,0.73234923317,0.81138125941,0.875225447469,0.594224840418,0.917945958671,0.91642807971,0.70848975672,0.74572882153,0.559698567313,0.561818281684,0.700758528498,0.702267729732,-0.238065481573,0.755678228772,0.938913662964,0.930701050883,0.716493815841,0.64019855504,0.808360448454,0.703576808391,0.36422449537,1.0,0.860015847214,0.738020587276,-0.12833804668,0.689717080323,0.69325100602,0.734496669266,0.451305280438,-0.288814523249,0.711271935076,0.810292772638,0.738508810057,0.486096076564,0.816722265035,0.650413869771,0.714012975674,0.600084725399,0.636830511968,0.138706523624,0.661504045618,-0.342269492897,0.621322124571,0.616363290318,0.578600309061,0.539578239304,0.639569709668,0.405349621556
ANTM,0.923351603866,0.890520192002,0.908571731556,0.881821348656,0.862829969733,0.908912446246,0.939626391963,0.920722499122,0.325742653894,0.976077107058,0.860298238018,0.84465340584,0.872259091355,0.921791728491,0.850757826938,0.917518130102,0.722169192526,0.902864473377,0.899295402129,0.839818902594,0.675925047102,0.878635915669,0.906238361016,0.864852477933,0.85992556377,0.902842671493,0.840371639249,0.887230373233,0.731536160343,0.91118994383,0.829275606828,-0.433467828163,0.875803804186,0.900244163497,0.898514160273,0.923245158272,0.853301449,0.909676460275,0.90212008747,0.578710045779,0.860015847214,1.0,0.907458747077,0.121269025128,0.898438786761,0.85718816477,0.642611812226,0.864607807834,-0.340095541524,0.845785563125,0.874268409422,0.820157424593,0.881398442088,0.910321742505,0.850782478118,0.883555875539,0.891976807796,0.727772360529,0.506133254978,0.907860322637,-0.180399164161,0.757362096463,0.919913276928,0.778451373604,0.857136262679,0.922064280041,0.567508718787
AON,0.963547333306,0.962449719584,0.927433061539,0.973261746743,0.938414463306,0.956069302621,0.940271490247,0.964021551405,-0.161720435035,0.943146566762,0.875736952928,0.892346237175,0.667298797265,0.965481328809,0.342893355562,0.943830257714,0.861518469125,0.924666925581,0.975057710856,0.927134242179,0.888743841854,0.937256819686,0.820916999706,0.968975750881,0.968579399489,0.971639174218,0.939340037007,0.817519891937,0.505876806464,0.970876215156,0.827854955424,-0.663704842197,0.947998103828,0.956195451203,0.925268233497,0.956762516032,0.942768688749,0.919923594704,0.981594849217,0.704550356931,0.738020587276,0.907458747077,1.0,0.299960479915,0.872705651415,0.942269006813,0.307755643437,0.858063434079,-0.55795899683,0.946377881139,0.877870608262,0.912816258675,0.818412563837,0.974883496495,0.891809383233,0.963956957528,0.914703974042,0.63473431497,0.445194658235,0.961887362374,-0.395738855026,0.555245837938,0.956787798959,0.933978191025,0.789645348007,0.968763597569,0.64291991703
APA,0.289720901201,0.352614419617,-0.569582667085,0.223409023886,0.329456039402,0.046191578029,0.224350153747,0.137406158284,-0.285862802733,0.300262071681,0.458234666742,0.560834460746,0.090725313215,0.445422809614,0.0181922243893,0.0719457861689,0.619452828341,0.0477203651461,0.342123671051,0.256549527724,-0.663439326415,0.221354295832,0.177259286988,-0.178817987239,-0.167585379318,0.275632102343,0.209975608982,0.21842038956,-0.639536574755,0.299764510081,0.322017176334,-0.647585919103,0.375134681899,-0.633640515331,-0.309969067974,0.235935422739,0.453170041532,0.00252988138903,0.39228882552,0.762184556613,-0.12833804668,0.121269025128,0.299960479915,1.0,0.205454928075,0.364147835669,-0.367959288819,0.596414458767,-0.30512430616,0.26881449157,-0.0979471016865,0.302807443095,0.553887717147,0.1610237837,0.345638277467,0.269665112498,0.471014627353,-0.198087681977,0.67730203659,0.382623182145,-0.172428422571,-0.0946667281537,0.409236105484,0.468813550723,0.223844235196,0.393705269463,0.4287172235
AIV,0.896507086341,0.85042782291,0.848910988867,0.875429765023,0.850725055543,0.891803595061,0.899714684698,0.857702906665,-0.119663786087,0.911135655625,0.83221230861,0.843722898129,0.613580342484,0.881392985159,0.315443831627,0.876712669144,0.784572730164,0.821927287773,0.912109154572,0.796797030549,0.914446560293,0.819310339183,0.908434108203,0.848848675998,0.846506046803,0.895545470535,0.848613085916,0.912303876871,0.727105768581,0.922699633628,0.823723555858,-0.407513259734,0.850114079885,0.940044688389,0.840047803269,0.868153453184,0.827747011805,0.862209624819,0.879308460126,0.572254927408,0.689717080323,0.898438786761,0.872705651415,0.205454928075,1.0,0.831934776668,0.332294649928,0.791807882171,-0.30618069886,0.86255413295,0.906541661765,0.845416866458,0.840379865597,0.887184483781,0.827086558128,0.866822802358,0.904431420325,0.786152075163,0.549130878616,0.876382833508,-0.0751536850996,0.592474046839,0.874250832659,0.793485722077,0.866262215539,0.884276431724,0.604641931627
AAPL,0.933586173106,0.960888467066,0.891054338104,0.956956696798,0.875577049151,0.886380054904,0.850898584609,0.95725476709,-0.235753659956,0.889428949735,0.869455913778,0.84943925568,0.631905608412,0.944294002338,0.344914906037,0.904597809952,0.886332439479,0.898239938263,0.948313066837,0.961676072604,0.581257609264,0.942344157874,0.736076937762,0.900454493348,0.900640376903,0.954058648513,0.906295697087,0.736096070566,0.372257801299,0.92873498158,0.828808812265,-0.755503111782,0.947902550415,0.888589775975,0.881571720912,0.954122726528,0.96186363256,0.866272393475,0.964327176164,0.765522428915,0.69325100602,0.85718816477,0.942269006813,0.364147835669,0.831934776668,1.0,0.180390675606,0.831866434937,-0.661839774926,0.936698609644,0.744366399798,0.877100402929,0.786512294155,0.93631226113,0.941717758841,0.969083858678,0.944116125967,0.482657937712,0.395120113544,0.970296023734,-0.507344717965,0.377226942638,0.919406364109,0.883944364254,0.740073258555,0.921350109662,0.769415141456
AMAT,0.254625712211,0.170939123674,0.716511755509,0.571261624308,0.231816431746,0.683238944812,0.413129568337,0.583932598929,0.524593585352,0.249355248655,0.14093506881,0.128395056809,0.727723356008,0.196420021442,0.594714445242,0.365926657622,0.0619515115462,0.372282107247,0.262189524678,0.234900620853,0.50618782856,0.526340918244,0.28028153742,0.736890486274,0.735433535182,0.244445922035,0.309316191215,0.24153239586,0.68343520716,0.27083467881,0.299376890388,0.238713233267,0.323245201216,0.847961220518,0.76659807123,0.226254450702,0.1196078262,0.421066009576,0.242713807583,-0.0847845557529,0.734496669266,0.642611812226,0.307755643437,-0.367959288819,0.332294649928,0.180390675606,1.0,0.0631957989546,0.22869093943,0.209973311481,0.811375868911,0.354787935802,0.133883850337,0.385027225049,0.110955365783,0.207798293788,0.100403904544,0.545176643809,-0.000911264160682,0.164710621835,0.00513288846698,0.635722845216,0.173606839704,0.16572140701,0.185219497594,0.208901883831,-0.138578039585
ADM,0.855899139551,0.874859255901,0.768558374382,0.821049974746,0.817620226576,0.780100973806,0.819337367408,0.832655125906,-0.26034823697,0.880874589922,0.908227566248,0.904786510564,0.490680013279,0.918749368408,0.281289296807,0.745134707596,0.848114524697,0.722923127569,0.864503532496,0.788723294475,-0.0380523952083,0.847705026927,0.803106368378,0.821597083767,0.822730628295,0.827832937766,0.738807832628,0.792108273503,0.635458822376,0.850602259397,0.811900983031,-0.667339852283,0.840682923862,0.793047683331,0.898420129119,0.833081645841,0.884449900688,0.716970839928,0.888819537894,0.828029291498,0.451305280438,0.864607807834,0.858063434079,0.596414458767,0.791807882171,0.831866434937,0.0631957989546,1.0,-0.431769095101,0.80677748851,0.840545360871,0.76775247146,0.905160620346,0.781391239309,0.828256324809,0.810744110078,0.890757787439,0.479905958681,0.722824458867,0.877974657765,-0.157562311357,0.44890006959,0.896127952054,0.845107064843,0.78847743916,0.897434303441,0.66598696829
ARNC,-0.534289871741,-0.595151308867,0.320570270247,-0.601776978438,-0.539572387131,-0.474323926892,-0.398017150215,-0.563738605959,0.386723436574,-0.449620785813,-0.420543802218,-0.44496068111,-0.236606573485,-0.526160377198,-0.101950548036,-0.522728445117,-0.627343920588,-0.499128473034,-0.568365180579,-0.626363216718,-0.503268516726,-0.542009159332,-0.190741223546,-0.469984957752,-0.472190897809,-0.605212149549,-0.614406758928,-0.233085621389,0.238673249424,-0.497637320736,-0.366348691335,0.857911334585,-0.597332333714,-0.234859545678,-0.266429534832,-0.576759548171,-0.634781128706,-0.470768289633,-0.597683167344,-0.528083393835,-0.288814523249,-0.340095541524,-0.55795899683,-0.30512430616,-0.30618069886,-0.661839774926,0.22869093943,-0.431769095101,1.0,-0.590492846983,-0.153065532654,-0.47630487081,-0.331024459067,-0.536589393276,-0.60907925543,-0.658100697031,-0.581326404571,0.0299773456595,0.0919258526479,-0.620238349652,0.766184189786,0.213369832388,-0.564735627124,-0.561467387786,-0.265535315359,-0.549272961355,-0.571395184074
